"","index","province","name","position","link"
"1",1,"北京","
            蔡奇
            ","市委书记","http://district.ce.cn/newarea/sddy/201706/09/t20170609_23529954_5.shtml"
"2",2,"北京","陈吉宁","市委副书记、代市长<U+00A0>","http://district.ce.cn/newarea/sddy/201706/23/t20170623_23833102_1.shtml"
"3",3,"北京","景俊海","市委副书记<U+00A0>","http://district.ce.cn/newarea/sddy/201706/23/t20170623_23833102_2.shtml"
"4",4,"北京","张工","常委，常务副市长","http://district.ce.cn/zt/rwk/sf/bj/bjrs/201202/21/t20120221_23092144.shtml"
"5",5,"北京","阴和俊","常委、副市长<U+00A0>","http://district.ce.cn/newarea/sddy/201706/23/t20170623_23833102_4.shtml"
"6",6,"北京","张硕辅","常委、纪委书记，市监察委主任","http://district.ce.cn/newarea/sddy/201605/20/t20160520_11812841.shtml"
"7",7,"北京","张延昆","常委、政法委书记","http://district.ce.cn/newarea/sddy/201506/15/t20150615_5645987_1.shtml"
"8",8,"北京","林克庆","常委、市委教育工委书记","http://district.ce.cn/newarea/sddy/201511/30/t20151130_7199256_1.shtml"
"9",9,"北京","杜飞进","常委、宣传部长","http://district.ce.cn/newarea/sddy/201706/23/t20170623_23833102_8.shtml"
"10",10,"北京","魏小东","常委、组织部部长<U+00A0>","http://district.ce.cn/newarea/sddy/201706/23/t20170623_23833102_9.shtml"
"11",11,"北京","崔述强","常委、秘书长","http://district.ce.cn/newarea/sddy/201707/22/t20170722_24374946_1.shtml"
"12",12,"北京","齐静","常委、统战部长","http://district.ce.cn/newarea/sddy/201707/22/t20170722_24374708_1.shtml"
"13",13,"天津","李鸿忠","中央委员，书记","http://district.ce.cn/newarea/sddy/201705/27/t20170527_23265860.shtml"
"14",14,"天津","王东峰","中央纪委委员，副书记、市长","http://district.ce.cn/newarea/sddy/201705/27/t20170527_23265860_1.shtml"
"15",15,"天津","段春华","中央候补委员，常委、常务副市长","http://district.ce.cn/newarea/sddy/201705/27/t20170527_23265860_3.shtml"
"16",16,"天津","张玉卓","常委、滨海新区区委书记<U+00A0>","http://district.ce.cn/newarea/sddy/201705/27/t20170527_23265860_4.shtml"
"17",17,"天津","盛茂林","常委、组织部长","http://district.ce.cn/newarea/sddy/201705/27/t20170527_23265860_5.shtml"
"18",18,"天津","程丽华","常委、教育工委书记","http://district.ce.cn/newarea/sddy/201705/27/t20170527_23265860_6.shtml"
"19",19,"天津","邓修明","常委、市纪委书记","http://district.ce.cn/newarea/sddy/201705/27/t20170527_23265860_7.shtml"
"20",20,"天津","赵飞<U+00A0>","常委、政法委书记","http://district.ce.cn/newarea/sddy/201707/26/t20170726_24458344_1.shtml"
"21",21,"天津","陈浙闽","常委、宣传部长","http://district.ce.cn/newarea/sddy/201705/27/t20170527_23265860_9.shtml"
"22",22,"天津","冀国强","常委、统战部长","http://district.ce.cn/newarea/sddy/201706/29/t20170629_23938662_1.shtml"
"23",23,"天津","李毅","常委、市委秘书长","http://district.ce.cn/newarea/sddy/201706/01/t20170601_23368621.shtml"
"24",24,"河北","赵克志","中央委员，书记、省人大主任","http://district.ce.cn/newarea/sddy/201611/25/t20161125_18160973.shtml"
"25",25,"河北","许勤","副书记、省长<U+00A0>","http://district.ce.cn/newarea/sddy/201704/26/t20170426_22369954.shtml"
"26",26,"河北","田向利","常委、宣传部长","http://district.ce.cn/newarea/sddy/201611/25/t20161125_18160973_4.shtml"
"27",27,"河北","梁田庚","副省长","http://district.ce.cn/newarea/sddy/201611/25/t20161125_18160973_5.shtml"
"28",28,"河北","袁桐利","副省长<U+00A0>","http://district.ce.cn/newarea/sddy/201611/25/t20161125_18160973_6.shtml"
"29",29,"河北","陈刚","常委、副省长，雄安新区党工委书记、管委会主任","http://district.ce.cn/newarea/sddy/201707/28/t20170728_24591046.shtml"
"30",30,"河北","梁惠玲","常委、纪委书记","../../../../newarea/sddy/201701/04/t20170104_19392772.shtml"
"31",31,"河北","焦彦龙","常委，唐山市委书记<U+00A0>","http://district.ce.cn/newarea/sddy/201611/25/t20161125_18160973_7.shtml"
"32",32,"河北","董仚生","常委、政法委书记","http://district.ce.cn/newarea/sddy/201703/31/t20170331_21649068_1.shtml"
"33",33,"河北","童建明","常委、秘书长<U+00A0>","http://district.ce.cn/newarea/sddy/201707/31/t20170731_24653876.shtml"
"34",34,"河北","邢国辉","常委，石家庄市委书记","http://district.ce.cn/newarea/sddy/201612/30/t20161230_19277948_1.shtml"
"35",35,"河北","高志立","常委、统战部长，省财政厅厅长","http://district.ce.cn/newarea/sddy/201611/30/t20161130_18260247.shtml"
"36",36,"山西","骆惠宁","中央委员，书记、人大常委会主任","http://district.ce.cn/newarea/sddy/201611/28/t20161128_18210678.shtml"
"37",37,"山西","楼阳生","副书记、省长","http://district.ce.cn/newarea/sddy/201611/05/t20161105_17551243_3.shtml"
"38",38,"山西","黄晓薇<U+00A0>","副书记","http://district.ce.cn/newarea/sddy/201706/14/t20170614_23627691_1.shtml"
"39",39,"山西","高建民","常委、常务副省长","http://district.ce.cn/newarea/sddy/201611/05/t20161105_17551243_3.shtml"
"40",40,"山西","任建华","常委、纪委书记，省监察委主任","http://district.ce.cn/newarea/sddy/201701/18/t20170118_19692361.shtml"
